   0.00           0.95           0.85           0.75           0.65           0.55           0.45           0.35           0.25           0.15           0.05          -0.05          -0.15          -0.25          -0.35          -0.45          -0.55          -0.65          -0.75          -0.85          -0.95
6.3096E-01     1.3689E-02     1.4246E-02     1.4828E-02     1.5503E-02     1.6098E-02     1.6658E-02     1.7171E-02     1.8130E-02     2.0099E-02     2.4294E-02     2.4366E-02     2.0580E-02     1.9030E-02     1.8157E-02     1.8006E-02     1.8716E-02     1.9124E-02     1.8542E-02     1.7054E-02     1.6554E-02
7.0795E-01     1.0726E-02     1.1190E-02     1.1655E-02     1.2239E-02     1.2806E-02     1.3312E-02     1.3728E-02     1.4460E-02     1.5799E-02     1.8841E-02     1.8752E-02     1.6099E-02     1.4968E-02     1.4321E-02     1.4132E-02     1.4580E-02     1.4815E-02     1.4313E-02     1.3151E-02     1.2686E-02
7.9433E-01     8.3585E-03     8.7257E-03     9.1011E-03     9.5999E-03     1.0069E-02     1.0537E-02     1.0875E-02     1.1380E-02     1.2365E-02     1.4662E-02     1.4587E-02     1.2529E-02     1.1712E-02     1.1201E-02     1.1018E-02     1.1308E-02     1.1385E-02     1.0920E-02     1.0103E-02     9.6563E-03
8.9125E-01     6.4512E-03     6.7587E-03     7.0807E-03     7.4699E-03     7.8757E-03     8.2568E-03     8.5883E-03     8.9219E-03     9.7048E-03     1.1382E-02     1.1361E-02     9.7398E-03     9.1169E-03     8.6701E-03     8.5448E-03     8.6968E-03     8.6743E-03     8.2553E-03     7.6652E-03     7.3108E-03
1.0000E+00     4.9078E-03     5.1680E-03     5.4480E-03     5.7842E-03     6.1027E-03     6.4496E-03     6.7355E-03     7.0339E-03     7.6222E-03     8.7110E-03     8.6428E-03     7.5359E-03     7.0780E-03     6.7337E-03     6.5859E-03     6.6400E-03     6.5536E-03     6.2225E-03     5.7512E-03     5.5101E-03
1.1220E+00     3.7197E-03     3.9179E-03     4.1553E-03     4.4253E-03     4.6975E-03     4.9880E-03     5.2364E-03     5.4878E-03     5.8980E-03     6.6887E-03     6.6389E-03     5.8246E-03     5.4666E-03     5.1953E-03     5.0395E-03     5.0464E-03     4.9158E-03     4.6498E-03     4.2992E-03     4.1076E-03
1.2589E+00     2.7938E-03     2.9544E-03     3.1476E-03     3.3520E-03     3.5958E-03     3.8234E-03     4.0415E-03     4.2531E-03     4.5416E-03     5.1022E-03     5.0895E-03     4.4881E-03     4.1852E-03     3.9752E-03     3.8430E-03     3.8009E-03     3.6749E-03     3.4641E-03     3.1883E-03     3.0311E-03
1.4125E+00     2.0805E-03     2.2125E-03     2.3649E-03     2.5220E-03     2.7258E-03     2.9142E-03     3.0927E-03     3.2801E-03     3.5051E-03     3.9098E-03     3.8719E-03     3.4418E-03     3.2128E-03     3.0239E-03     2.9054E-03     2.8350E-03     2.7227E-03     2.5649E-03     2.3518E-03     2.2290E-03
1.5849E+00     1.5381E-03     1.6383E-03     1.7595E-03     1.8883E-03     2.0439E-03     2.2016E-03     2.3491E-03     2.5127E-03     2.6961E-03     3.0113E-03     2.9537E-03     2.6354E-03     2.4582E-03     2.2932E-03     2.1855E-03     2.1116E-03     2.0088E-03     1.8776E-03     1.7285E-03     1.6314E-03
1.7783E+00     1.1281E-03     1.2041E-03     1.2947E-03     1.4028E-03     1.5223E-03     1.6533E-03     1.7778E-03     1.9065E-03     2.0532E-03     2.2815E-03     2.2408E-03     2.0076E-03     1.8574E-03     1.7374E-03     1.6354E-03     1.5571E-03     1.4721E-03     1.3697E-03     1.2614E-03     1.1809E-03
1.9953E+00     8.1914E-04     8.7678E-04     9.4766E-04     1.0317E-03     1.1263E-03     1.2279E-03     1.3367E-03     1.4429E-03     1.5482E-03     1.7179E-03     1.6909E-03     1.5150E-03     1.4083E-03     1.2992E-03     1.2157E-03     1.1405E-03     1.0706E-03     9.9264E-04     9.1270E-04     8.4586E-04
