0		1.0		0.9		0.8		0.7		0.6		0.5		0.4		0.3		0.2		0.1		0.0
6.3096E+03	6.2960E-16	6.9334E-16	7.7155E-16	8.7077E-16	1.0010E-15	1.1781E-15	1.4318E-15	1.8212E-15	2.4737E-15	3.6346E-15	4.8671E-15	
7.9433E+03	2.7486E-16	3.0276E-16	3.3708E-16	3.8078E-16	4.3804E-16	5.1632E-16	6.2891E-16	8.0280E-16	1.0964E-15	1.6226E-15	2.1672E-15	
1.0000E+04	1.1975E-16	1.3190E-16	1.4689E-16	1.6599E-16	1.9108E-16	2.2546E-16	2.7508E-16	3.5213E-16	4.8320E-16	7.1989E-16	9.6062E-16	
1.2589E+04	5.2067E-17	5.7344E-17	6.3859E-17	7.2170E-17	8.3101E-17	9.8112E-17	1.1984E-16	1.5373E-16	2.1177E-16	3.1739E-16	4.2354E-16	
1.5849E+04	2.2592E-17	2.4875E-17	2.7695E-17	3.1296E-17	3.6036E-17	4.2555E-17	5.2012E-17	6.6814E-17	9.2311E-17	1.3905E-16	1.8565E-16	
1.9953E+04	9.7793E-18	1.0764E-17	1.1981E-17	1.3533E-17	1.5580E-17	1.8397E-17	2.2489E-17	2.8911E-17	4.0027E-17	6.0533E-17	8.0878E-17	
2.5119E+04	4.2212E-18	4.6445E-18	5.1677E-18	5.8350E-18	6.7148E-18	7.9257E-18	9.6865E-18	1.2455E-17	1.7266E-17	2.6187E-17	3.5010E-17	
3.1623E+04	1.8157E-18	1.9971E-18	2.2213E-18	2.5071E-18	2.8836E-18	3.4018E-18	4.1554E-18	5.3417E-18	7.4082E-18	1.1258E-17	1.5056E-17	
3.9811E+04	7.7758E-19	8.5505E-19	9.5078E-19	1.0727E-18	1.2332E-18	1.4539E-18	1.7748E-18	2.2800E-18	3.1614E-18	4.8084E-18	6.4308E-18	
5.0119E+04	3.3116E-19	3.6413E-19	4.0485E-19	4.5665E-19	5.2474E-19	6.1833E-19	7.5419E-19	9.6805E-19	1.3413E-18	2.0402E-18	2.7275E-18	
6.3096E+04	1.4009E-19	1.5405E-19	1.7129E-19	1.9319E-19	2.2195E-19	2.6142E-19	3.1864E-19	4.0860E-19	5.6551E-19	8.5964E-19	1.1483E-18	
7.9433E+04	5.8781E-20	6.4658E-20	7.1915E-20	8.1123E-20	9.3200E-20	1.0975E-19	1.3370E-19	1.7130E-19	2.3677E-19	3.5950E-19	4.7969E-19	
1.0000E+05	2.4432E-20	2.6887E-20	2.9919E-20	3.3763E-20	3.8801E-20	4.5694E-20	5.5655E-20	7.1256E-20	9.8370E-20	1.4913E-19	1.9871E-19	
1.2589E+05	1.0045E-20	1.1062E-20	1.2317E-20	1.3908E-20	1.5992E-20	1.8841E-20	2.2951E-20	2.9374E-20	4.0514E-20	6.1313E-20	8.1566E-20	
1.5849E+05	4.0800E-21	4.4963E-21	5.0106E-21	5.6623E-21	6.5161E-21	7.6823E-21	9.3628E-21	1.1985E-20	1.6521E-20	2.4962E-20	3.3153E-20	
1.9953E+05	1.6352E-21	1.8035E-21	2.0116E-21	2.2754E-21	2.6211E-21	3.0932E-21	3.7732E-21	4.8327E-21	6.6621E-21	1.0053E-20	1.3331E-20	
2.5119E+05	6.4607E-22	7.1317E-22	7.9619E-22	9.0150E-22	1.0396E-21	1.2284E-21	1.5002E-21	1.9235E-21	2.6532E-21	4.0012E-21	5.2986E-21	
3.1623E+05	2.5145E-22	2.7779E-22	3.1042E-22	3.5185E-22	4.0625E-22	4.8065E-22	5.8787E-22	7.5486E-22	1.0424E-21	1.5722E-21	2.0798E-21	
3.9811E+05	9.6369E-23	1.0655E-22	1.1917E-22	1.3522E-22	1.5631E-22	1.8520E-22	2.2687E-22	2.9185E-22	4.0370E-22	6.0938E-22	8.0571E-22	
5.0119E+05	3.6373E-23	4.0245E-23	4.5052E-23	5.1168E-23	5.9218E-23	7.0260E-23	8.6217E-23	1.1113E-22	1.5405E-22	2.3290E-22	3.0794E-22	
6.3096E+05	1.3530E-23	1.4980E-23	1.6782E-23	1.9078E-23	2.2104E-23	2.6260E-23	3.2278E-23	4.1691E-23	5.7936E-23	8.7785E-23	1.1613E-22	
7.9433E+05	4.9673E-24	5.5028E-24	6.1695E-24	7.0191E-24	8.1402E-24	9.6829E-24	1.1921E-23	1.5429E-23	2.1498E-23	3.2662E-23	4.3252E-23	
1.0000E+06	1.8040E-24	1.9995E-24	2.2433E-24	2.5539E-24	2.9645E-24	3.5301E-24	4.3525E-24	5.6448E-24	7.8858E-24	1.2018E-23	1.5936E-23	
1.2589E+06	6.5014E-25	7.2094E-25	8.0941E-25	9.2188E-25	1.0709E-24	1.2765E-24	1.5760E-24	2.0477E-24	2.8681E-24	4.3850E-24	5.8244E-24	
1.5849E+06	2.3335E-25	2.5886E-25	2.9080E-25	3.3134E-25	3.8517E-25	4.5951E-25	5.6797E-25	7.3922E-25	1.0378E-24	1.5918E-24	2.1182E-24	
1.9953E+06	8.3730E-26	9.2915E-26	1.0441E-25	1.1903E-25	1.3845E-25	1.6529E-25	2.0451E-25	2.6656E-25	3.7507E-25	5.7703E-25	7.6924E-25	
2.5119E+06	3.0131E-26	3.3445E-26	3.7589E-26	4.2876E-26	4.9893E-26	5.9605E-26	7.3812E-26	9.6332E-26	1.3581E-25	2.0952E-25	2.7981E-25	
3.1623E+06	1.0896E-26	1.2098E-26	1.3598E-26	1.5518E-26	1.8065E-26	2.1593E-26	2.6759E-26	3.4961E-26	4.9371E-26	7.6359E-26	1.0214E-25	
3.9811E+06	3.9636E-27	4.4015E-27	4.9481E-27	5.6488E-27	6.5781E-27	7.8660E-27	9.7539E-27	1.2756E-26	1.8039E-26	2.7962E-26	3.7459E-26	
5.0119E+06	1.4500E-27	1.6105E-27	1.8109E-27	2.0677E-27	2.4086E-27	2.8812E-27	3.5745E-27	4.6782E-27	6.6242E-27	1.0287E-26	1.3798E-26	
6.3096E+06	5.3359E-28	5.9274E-28	6.6659E-28	7.6129E-28	8.8696E-28	1.0613E-27	1.3173E-27	1.7251E-27	2.4452E-27	3.8033E-27	5.1070E-27	
7.9433E+06	1.9776E-28	2.1971E-28	2.4711E-28	2.8226E-28	3.2892E-28	3.9367E-28	4.8878E-28	6.4045E-28	9.0856E-28	1.4151E-27	1.9017E-27	
1.0000E+07	7.4013E-29	8.2236E-29	9.2504E-29	1.0568E-28	1.2316E-28	1.4744E-28	1.8311E-28	2.4004E-28	3.4076E-28	5.3129E-28	7.1447E-28	
1.2589E+07	2.8091E-29	3.1214E-29	3.5115E-29	4.0119E-29	4.6764E-29	5.5991E-29	6.9553E-29	9.1208E-29	1.2955E-28	2.0217E-28	2.7200E-28	
1.5849E+07	1.0856E-29	1.2063E-29	1.3571E-29	1.5507E-29	1.8077E-29	2.1647E-29	2.6895E-29	3.5279E-29	5.0134E-29	7.8289E-29	1.0537E-28	
1.9953E+07	4.2801E-30	4.7558E-30	5.3509E-30	6.1146E-30	7.1286E-30	8.5373E-30	1.0609E-29	1.3919E-29	1.9788E-29	3.0917E-29	4.1621E-29	
2.5119E+07	1.7202E-30	1.9113E-30	2.1506E-30	2.4577E-30	2.8655E-30	3.4321E-30	4.2655E-30	5.5976E-30	7.9599E-30	1.2442E-29	1.6752E-29	
3.1623E+07	7.0139E-31	7.7932E-31	8.7694E-31	1.0022E-30	1.1686E-30	1.3997E-30	1.7398E-30	2.2835E-30	3.2481E-30	5.0788E-30	6.8385E-30	
3.9811E+07	2.8821E-31	3.2028E-31	3.6041E-31	4.1191E-31	4.8032E-31	5.7537E-31	7.1523E-31	9.3888E-31	1.3357E-30	2.0892E-30	2.8131E-30	
5.0119E+07	1.1854E-31	1.3174E-31	1.4826E-31	1.6945E-31	1.9760E-31	2.3672E-31	2.9428E-31	3.8635E-31	5.4974E-31	8.6000E-31	1.1580E-30	
6.3096E+07	4.8468E-32	5.3871E-32	6.0626E-32	6.9294E-32	8.0808E-32	9.6811E-32	1.2036E-31	1.5803E-31	2.2489E-31	3.5186E-31	4.7375E-31	
7.9433E+07	1.9599E-32	2.1784E-32	2.4516E-32	2.8022E-32	3.2680E-32	3.9153E-32	4.8679E-32	6.3920E-32	9.0975E-32	1.4235E-31	1.9165E-31	
1.0000E+08	7.8019E-33	8.6718E-33	9.7596E-33	1.1156E-32	1.3010E-32	1.5588E-32	1.9382E-32	2.5451E-32	3.6227E-32	5.6682E-32	7.6315E-32	
0		1.0		0.9		0.8		0.7		0.6		0.5		0.4		0.3		0.2		0.1		0.0
1.0000E+01	1.9101E-06	2.1809E-06	2.4686E-06	2.9795E-06	3.3112E-06	3.9446E-06	4.8055E-06	6.0192E-06	7.8088E-06	1.0388E-05	1.2537E-05
1.2590E+01	8.7489E-07	1.0002E-06	1.1342E-06	1.3064E-06	1.5314E-06	1.8358E-06	2.2574E-06	2.8621E-06	3.7841E-06	5.1848E-06	6.4488E-06
1.5850E+01	3.9911E-07	4.5623E-07	5.1753E-07	5.9699E-07	7.0918E-07	8.4548E-07	1.0473E-06	1.3428E-06	1.8074E-06	2.5471E-06	3.2698E-06
1.9950E+01	1.8176E-07	2.0742E-07	2.3509E-07	2.7117E-07	3.2228E-07	3.8598E-07	4.8075E-07	6.2902E-07	8.5128E-07	1.2327E-06	1.6350E-06
2.5120E+01	8.2818E-08	9.4191E-08	1.0652E-07	1.2269E-07	1.4566E-07	1.7485E-07	2.1869E-07	2.8826E-07	3.9592E-07	5.8803E-07	8.0679E-07
