  0.00000000E+00  0.00000000E+00  1.00000000E-01  2.00000000E-01  3.00000000E-01  4.00000000E-01  5.00000000E-01  6.00000000E-01  7.00000000E-01  8.00000000E-01  9.00000000E-01  1.00000000E+00
  1.00000000E+01  3.64970000E-02  3.28850000E-02  2.83480000E-02  2.50140000E-02  2.26250000E-02  2.08420000E-02  1.94570000E-02  1.83590000E-02  1.74490000E-02  1.67010000E-02  1.56400000E-02
  1.08812330E+01  3.72816680E-02  3.33885041E-02  2.86771166E-02  2.52604894E-02  2.28298471E-02  2.10264517E-02  1.96278280E-02  1.86502028E-02  1.76001204E-02  1.68426623E-02  1.57591333E-02
  1.18401232E+01  3.80596427E-02  3.38837246E-02  2.89979369E-02  2.54989781E-02  2.30301282E-02  2.12073007E-02  1.97937105E-02  1.88976064E-02  1.77473519E-02  1.69803540E-02  1.58741291E-02
  1.28835140E+01  3.88059019E-02  3.43539285E-02  2.92979171E-02  2.57187669E-02  2.32192484E-02  2.13791710E-02  1.99480516E-02  1.90509712E-02  1.78853579E-02  1.71087678E-02  1.59798265E-02
  1.40188518E+01  3.95050386E-02  3.47889391E-02  2.95700559E-02  2.59178145E-02  2.33934108E-02  2.15386664E-02  2.00889058E-02  1.91007134E-02  1.80106943E-02  1.72244470E-02  1.60729856E-02
  1.52542393E+01  4.01619840E-02  3.51918563E-02  2.98182211E-02  2.61105579E-02  2.35542323E-02  2.16862406E-02  2.02231695E-02  1.91137053E-02  1.81235930E-02  1.73275273E-02  1.61540601E-02
  1.65984933E+01  4.07843464E-02  3.55673601E-02  3.00475214E-02  2.63125681E-02  2.37039148E-02  2.18227572E-02  2.03583167E-02  1.91625190E-02  1.82246727E-02  1.74185231E-02  1.62238774E-02
  1.80612073E+01  4.13754181E-02  3.59169088E-02  3.02602646E-02  2.65194608E-02  2.38432319E-02  2.19481919E-02  2.04912764E-02  1.92610918E-02  1.83136305E-02  1.74970711E-02  1.62820671E-02
  1.96528205E+01  4.19343533E-02  3.62389526E-02  3.04561792E-02  2.67085072E-02  2.39716528E-02  2.20617115E-02  2.06093387E-02  1.93709942E-02  1.83893285E-02  1.75620150E-02  1.63271799E-02
  2.13846920E+01  4.24604512E-02  3.65322183E-02  3.06351191E-02  2.68593639E-02  2.40886418E-02  2.21625249E-02  2.07011532E-02  1.94560113E-02  1.84507192E-02  1.76122953E-02  1.63579553E-02
