  0.00000000E+00  0.00000000E+00  1.00000000E-01  2.00000000E-01  3.00000000E-01  4.00000000E-01  5.00000000E-01  6.00000000E-01  7.00000000E-01  8.00000000E-01  9.00000000E-01  1.00000000E+00
  1.00000000E+01  1.25370000E-02  1.03880000E-02  7.80880000E-03  6.01920000E-03  4.80550000E-03  3.94460000E-03  3.31120000E-03  2.97950000E-03  2.46860000E-03  2.18090000E-03  1.91010000E-03
  1.08812330E+01  1.26693446E-02  1.03834076E-02  7.72048285E-03  5.91137034E-03  4.69672984E-03  3.84165108E-03  3.21339002E-03  2.82661999E-03  2.39230745E-03  2.11187187E-03  1.84861479E-03
  1.18401232E+01  1.27915083E-02  1.03683884E-02  7.62623185E-03  5.79884616E-03  4.58673065E-03  3.73884223E-03  3.11995964E-03  2.69068692E-03  2.31729601E-03  2.04427851E-03  1.78860002E-03
  1.28835140E+01  1.28915541E-02  1.03326419E-02  7.51948387E-03  5.67554188E-03  4.47212469E-03  3.63384482E-03  3.03211626E-03  2.57863769E-03  2.24255780E-03  1.97740130E-03  1.72955257E-03
  1.40188518E+01  1.29622947E-02  1.02706455E-02  7.39695772E-03  5.54125306E-03  4.35154673E-03  3.52576366E-03  2.94850246E-03  2.48969911E-03  2.16775404E-03  1.91099262E-03  1.67131455E-03
  1.52542393E+01  1.30057493E-02  1.01853887E-02  7.26080667E-03  5.40530837E-03  4.22675109E-03  3.41588639E-03  2.86361343E-03  2.41165578E-03  2.09354597E-03  1.84550713E-03  1.61424505E-03
  1.65984933E+01  1.30250223E-02  1.00806997E-02  7.11364814E-03  5.27659295E-03  4.09963166E-03  3.30556754E-03  2.77240409E-03  2.33306059E-03  2.02060299E-03  1.78140560E-03  1.55870174E-03
  1.80612073E+01  1.30214036E-02  9.95839556E-03  6.95717674E-03  5.15251465E-03  3.97124179E-03  3.19544505E-03  2.67539877E-03  2.25088837E-03  1.94927719E-03  1.71895672E-03  1.50488978E-03
  1.96528205E+01  1.29945572E-02  9.81858621E-03  6.79232503E-03  5.02153268E-03  3.84197186E-03  3.08560339E-03  2.57731941E-03  2.16851819E-03  1.87967477E-03  1.65827846E-03  1.45289463E-03
  2.13846920E+01  1.29443217E-02  9.66157022E-03  6.62002848E-03  4.87471797E-03  3.71222092E-03  2.97619072E-03  2.48200373E-03  2.08877914E-03  1.81188786E-03  1.59946542E-03  1.40277905E-03
  2.32691817E+01  1.28714116E-02  9.48862392E-03  6.44134423E-03  4.71588347E-03  3.58263634E-03  2.86782048E-03  2.38988952E-03  2.01199442E-03  1.74605328E-03  1.54259785E-03  1.35457448E-03
  2.53197388E+01  1.27769651E-02  9.30142993E-03  6.25735950E-03  4.55332949E-03  3.45391762E-03  2.76122637E-03  2.30017754E-03  1.93757297E-03  1.68230878E-03  1.48774023E-03  1.30829441E-03
  2.75509978E+01  1.26621067E-02  9.10158158E-03  6.06914557E-03  4.39295976E-03  3.32669414E-03  2.65694227E-03  2.21242899E-03  1.86517043E-03  1.62076126E-03  1.43493845E-03  1.26393895E-03
  2.99788828E+01  1.25277283E-02  8.89038519E-03  5.87778065E-03  4.23567069E-03  3.20152854E-03  2.55512143E-03  2.12701046E-03  1.79499309E-03  1.56147955E-03  1.38421668E-03  1.22148834E-03
  3.26207209E+01  1.23747431E-02  8.66910520E-03  5.68429834E-03  4.08144326E-03  3.07891097E-03  2.45584068E-03  2.04436284E-03  1.72730166E-03  1.50451137E-03  1.33558622E-03  1.18091568E-03
  3.54953666E+01  1.22042010E-02  8.43911205E-03  5.48972369E-03  3.92895375E-03  2.95912379E-03  2.35926647E-03  1.96472566E-03  1.66224756E-03  1.44988765E-03  1.28904897E-03  1.14218530E-03
  3.86233355E+01  1.20173016E-02  8.20189919E-03  5.29508106E-03  3.77530319E-03  2.84221682E-03  2.26567621E-03  1.88811745E-03  1.59986405E-03  1.39762424E-03  1.24459885E-03  1.10525229E-03
  4.20269514E+01  1.18152702E-02  7.95892145E-03  5.10131327E-03  3.61837183E-03  2.72823523E-03  2.17530580E-03  1.81453233E-03  1.54016089E-03  1.34772303E-03  1.20222025E-03  1.07006939E-03
  4.57305052E+01  1.15991041E-02  7.71156046E-03  4.90926586E-03  3.46157104E-03  2.61743491E-03  2.08832303E-03  1.74399867E-03  1.48312427E-03  1.30015591E-03  1.16186772E-03  1.03657799E-03
  4.97604283E+01  1.13696647E-02  7.46112259E-03  4.71969177E-03  3.31119030E-03  2.51017232E-03  2.00484231E-03  1.67655763E-03  1.42872350E-03  1.25487556E-03  1.12347800E-03  1.00471346E-03
  5.41454816E+01  1.11278865E-02  7.20884550E-03  4.53325932E-03  3.17143497E-03  2.40674570E-03  1.92493423E-03  1.61221918E-03  1.37691817E-03  1.21182652E-03  1.08698307E-03  9.74408375E-04
  5.89169603E+01  1.08748953E-02  6.95590489E-03  4.35055359E-03  3.04031388E-03  2.30741562E-03  1.84859139E-03  1.55092199E-03  1.32765218E-03  1.17092836E-03  1.05229107E-03  9.45573087E-04
  6.41089174E+01  1.06118808E-02  6.70339765E-03  4.17208043E-03  2.91441707E-03  2.21239001E-03  1.77577414E-03  1.49258192E-03  1.28086283E-03  1.13209528E-03  1.01930714E-03  9.18115870E-04
  6.97584070E+01  1.03399481E-02  6.45235320E-03  3.99828534E-03  2.79187775E-03  2.12172095E-03  1.70642444E-03  1.43711726E-03  1.23646648E-03  1.09522794E-03  9.87934048E-04  8.91939886E-04
